episode_key,sequence_id,athlete_name,episode_id,path_signature,step_index,step_hidden_state,step_observed_feature,confidence
48::Аглиуллин Э.Р.::9::26,48::Аглиуллин Э.Р.,Аглиуллин Э.Р.,9,S1->S2->S3->O0,3,S3,x_s3_vup=0.0000,1.0
48::Аглиуллин Э.Р.::9::26,48::Аглиуллин Э.Р.,Аглиуллин Э.Р.,9,S1->S2->S3->O0,4,O,O0,1.0
48::Аглиуллин Э.Р.::10::27,48::Аглиуллин Э.Р.,Аглиуллин Э.Р.,10,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Аглиуллин Э.Р.::10::27,48::Аглиуллин Э.Р.,Аглиуллин Э.Р.,10,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Аглиуллин Э.Р.::10::27,48::Аглиуллин Э.Р.,Аглиуллин Э.Р.,10,S1->S2->S3->O0,3,S3,x_s3_vup=5.0000,1.0
48::Аглиуллин Э.Р.::10::27,48::Аглиуллин Э.Р.,Аглиуллин Э.Р.,10,S1->S2->S3->O0,4,O,O0,1.0
48::Лукашин И.П.::1::28,48::Лукашин И.П.,Лукашин И.П.,1,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Лукашин И.П.::1::28,48::Лукашин И.П.,Лукашин И.П.,1,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Лукашин И.П.::1::28,48::Лукашин И.П.,Лукашин И.П.,1,S1->S2->S3->O0,3,S3,x_s3_vup=5.0000,1.0
48::Лукашин И.П.::1::28,48::Лукашин И.П.,Лукашин И.П.,1,S1->S2->S3->O0,4,O,O0,1.0
48::Лукашин И.П.::2::29,48::Лукашин И.П.,Лукашин И.П.,2,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Лукашин И.П.::2::29,48::Лукашин И.П.,Лукашин И.П.,2,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Лукашин И.П.::2::29,48::Лукашин И.П.,Лукашин И.П.,2,S1->S2->S3->O0,3,S3,x_s3_vup=5.0000,1.0
48::Лукашин И.П.::2::29,48::Лукашин И.П.,Лукашин И.П.,2,S1->S2->S3->O0,4,O,O0,1.0
48::Лукашин И.П.::3::30,48::Лукашин И.П.,Лукашин И.П.,3,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Лукашин И.П.::3::30,48::Лукашин И.П.,Лукашин И.П.,3,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=3.0000;hooks=0.0000;posts=0.0000,1.0
48::Лукашин И.П.::3::30,48::Лукашин И.П.,Лукашин И.П.,3,S1->S2->S3->O0,3,S3,x_s3_vup=0.0000,1.0
48::Лукашин И.П.::3::30,48::Лукашин И.П.,Лукашин И.П.,3,S1->S2->S3->O0,4,O,O0,1.0
48::Лукашин И.П.::4::31,48::Лукашин И.П.,Лукашин И.П.,4,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Лукашин И.П.::4::31,48::Лукашин И.П.,Лукашин И.П.,4,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Лукашин И.П.::4::31,48::Лукашин И.П.,Лукашин И.П.,4,S1->S2->S3->O0,3,S3,x_s3_vup=0.0000,1.0
